"","home","Pts","X1stD","TotYd","TOLost","TOGained","Cmp","SkYds","QBR","RA","Pnt","ToP","X3DRate"
"4231",1,31,20,437,0,2,24,15,134.8,31,4,2073,0.466666666666667
"4232",1,17,15,269,1,1,21,26,91.5,19,4,1553,0.333333333333333
"4233",1,41,31,604,3,2,31,0,89.5,25,2,2009,0.384615384615385
"4234",0,36,24,405,0,5,28,12,105.7,29,2,2170,0.5
"4235",0,17,20,366,1,0,24,0,86.3,19,5,1599,0.2
"4236",1,41,30,502,2,3,25,0,103.3,34,2,2124,0.545454545454545
"4237",0,26,19,342,0,3,15,0,87.4,37,4,1935,0.333333333333333
"4238",1,27,22,393,2,4,26,8,78,19,3,1637,0.666666666666667
"4239",0,29,11,293,2,6,15,2,58.1,28,6,1662,0.2
"4240",1,20,13,182,1,2,10,11,39.2,22,5,1485,0.2
"4241",0,13,21,318,4,1,29,26,53.6,20,4,1785,0.357142857142857
"4242",1,38,23,390,0,2,16,6,113.6,31,3,1873,0.5
"4243",0,16,21,390,0,1,20,7,97.2,29,3,1993,0.6
"4244",1,52,24,394,2,4,22,0,99.6,27,3,1782,0.454545454545455
"4245",0,0,10,256,3,0,13,2,38.6,21,2,1263,0.4
"4246",0,14,11,186,0,0,14,31,73.4,14,8,1239,0.2
"4247",1,42,32,397,0,1,14,11,134.8,35,2,1893,0.625
"4248",0,31,21,478,6,1,27,22,100.1,14,3,1370,0.545454545454545
"4249",1,23,28,376,4,1,28,9,52.5,19,5,1918,0.0909090909090909
"4250",0,0,10,150,3,2,14,45,28.3,16,6,1393,0.25
"4251",0,7,11,298,3,3,18,17,62.9,21,8,1444,0.0714285714285714
"4252",1,21,21,383,4,0,24,4,55.8,17,7,1673,0.384615384615385
"4253",0,21,21,355,3,0,14,7,57.4,26,3,1625,0.636363636363636
"4254",1,23,17,257,1,3,23,7,80.4,32,9,2182,0.368421052631579
"4255",0,15,16,325,1,3,25,9,80.8,31,5,2285,0.421052631578947
"4256",1,24,19,251,3,2,12,22,66.1,38,4,1922,0.5
"4257",1,27,19,334,1,3,25,23,89.7,24,5,2114,0.285714285714286
"4258",1,21,22,356,1,1,16,20,90.1,30,5,1839,0.25
"4259",0,24,16,286,1,1,22,29,94.3,23,6,1705,0.333333333333333
"4260",0,14,18,333,3,1,20,18,69.9,20,3,1384,0.375
"4261",1,0,12,181,5,1,22,30,33.5,14,8,1562,0.1
"4262",0,23,15,279,2,3,23,18,69.3,21,6,1783,0.352941176470588
"4263",1,20,14,278,3,4,12,7,38,35,8,1899,0.214285714285714
"4264",0,14,16,197,2,0,18,19,50.6,22,5,1436,0.230769230769231
"4265",1,14,24,341,4,0,26,17,81.1,27,4,1949,0.5
"4266",1,30,26,419,1,3,21,8,122,42,4,1954,0.333333333333333
"4267",0,45,31,449,1,6,28,5,116.9,38,5,2237,0.6875
"4268",1,30,22,317,2,1,19,7,103.9,34,3,1901,0.6
"4269",0,0,12,254,1,2,17,43,77.7,24,10,1654,0.142857142857143
"4270",0,21,20,352,2,1,21,0,116.7,26,5,1571,0.384615384615385
"4271",1,24,22,438,1,0,27,10,86.1,20,8,1617,0.25
"4272",0,17,20,324,2,3,29,13,80.7,17,5,1608,0.5
"4273",1,10,17,330,5,1,22,15,35.2,21,3,1501,0.4
"4274",1,28,27,417,1,1,29,10,111.2,32,4,2107,0.6875
"4275",0,24,22,329,3,0,24,34,96.8,35,5,2079,0.466666666666667
"4276",0,36,19,402,1,3,26,0,75.7,30,4,2083,0.444444444444444
"4277",1,24,17,287,1,1,23,12,117,22,6,1649,0.307692307692308
"4278",0,37,19,514,0,3,25,5,148.2,34,3,2087,0.470588235294118
"4279",1,26,22,505,1,1,28,0,78.3,25,7,2077,0.388888888888889
"4280",0,26,18,285,0,3,20,3,69.9,24,4,1370,0.428571428571429
"4281",1,20,19,388,1,0,27,1,105.3,23,4,1705,0.588235294117647
"4282",1,32,19,363,0,3,23,0,119.1,31,4,1890,0.333333333333333
"4283",0,24,19,303,1,2,20,1,91.5,28,8,1833,0.2
"4284",1,30,30,525,1,0,41,0,110.2,21,2,1918,0.642857142857143
"4285",0,7,18,247,3,4,24,23,59.8,23,8,1770,0.307692307692308
"4286",1,27,13,289,0,4,13,13,74.5,25,5,1316,0.272727272727273
"4287",0,49,28,416,1,2,30,21,136.1,21,4,1501,0.125
"4288",0,32,24,327,2,3,26,0,74.3,33,1,2095,0.5625
"4289",1,26,21,422,1,2,24,19,95.1,23,4,1704,0.466666666666667
"4290",0,14,17,332,3,0,26,22,57.6,13,7,1440,0.2
"4291",1,20,14,355,1,1,18,16,78.2,24,5,1796,0.266666666666667
"4292",0,31,25,429,1,1,27,0,151.5,31,4,1831,0.454545454545455
"4293",1,35,21,406,2,1,29,0,96.7,27,7,1748,0.4
"4294",0,17,15,363,3,0,20,30,67.3,20,6,1503,0.0909090909090909
"4295",1,30,30,502,1,2,24,8,92.6,36,3,1914,0.466666666666667
"4296",0,20,18,316,1,0,19,4,109.7,24,5,1397,0.5
"4297",1,16,22,417,3,0,32,15,102.5,32,2,2047,0.466666666666667
"4298",1,27,28,457,3,1,25,13,80.7,21,3,1594,0.444444444444444
"4299",0,10,18,339,2,0,25,0,63.3,18,6,1468,0.166666666666667
"4300",0,16,14,221,1,2,18,21,75.7,15,6,1402,0.307692307692308
"4301",1,27,19,435,3,0,32,6,99.6,17,4,1496,0.285714285714286
"4302",0,17,13,232,1,4,24,0,78.2,20,8,1497,0.210526315789474
"4303",1,28,16,302,2,2,22,9,95.6,24,7,1640,0.307692307692308
"4304",1,21,23,351,2,1,28,11,80.6,27,6,1883,0.428571428571429
"4305",1,22,19,329,0,1,21,0,95.5,29,6,1771,0.357142857142857
"4306",0,27,13,296,1,3,15,2,115,27,9,1569,0.307692307692308
"4307",0,14,16,234,2,2,24,17,68.1,14,4,1552,0.363636363636364
"4308",1,10,12,260,3,3,17,26,74.6,33,9,1852,0.142857142857143
"4309",1,17,17,300,0,2,20,15,113.1,32,7,1816,0.466666666666667
"4310",0,19,24,470,3,1,38,0,61.3,25,3,2044,0.454545454545455
"4311",0,19,17,332,0,3,17,9,80.9,40,8,2152,0.352941176470588
"4312",0,3,13,233,1,0,29,22,76.4,12,6,1546,0.333333333333333
"4313",1,10,14,270,1,1,22,31,83.9,18,5,1633,0.333333333333333
"4314",0,24,21,415,2,1,35,0,100.1,17,4,1348,0.3
"4315",0,23,24,379,0,0,30,0,91.2,28,5,2053,0.470588235294118
"4316",1,22,18,335,2,1,21,42,78.8,25,8,1695,0.333333333333333
"4317",0,23,12,266,0,3,11,10,93.7,32,6,1836,0.285714285714286
"4318",1,7,14,177,1,1,19,3,65.2,17,7,1474,0.166666666666667
"4319",1,17,17,319,3,0,20,12,75.3,26,5,1770,0.5
"4320",0,21,19,374,1,2,28,13,112.4,23,3,1860,0.357142857142857
"4321",1,12,20,317,1,3,19,0,58.2,32,6,1850,0.230769230769231
"4322",0,10,7,170,1,1,13,27,40,24,9,1523,0.142857142857143
"4323",0,17,15,265,2,1,21,12,87.9,24,7,1721,0.357142857142857
"4324",1,10,21,330,2,0,31,0,68,29,8,1973,0.375
"4325",1,29,27,504,1,0,37,5,97.8,23,3,1747,0.555555555555556
"4326",0,0,12,293,3,2,27,13,56.7,20,6,1607,0.0714285714285714
"4327",1,18,17,381,1,3,10,11,46.9,44,9,1913,0.25
"4328",1,15,15,324,2,1,23,14,66.3,23,5,1829,0.307692307692308
"4329",0,13,17,255,1,0,33,59,93,17,6,1932,0.470588235294118
"4330",0,27,21,379,0,2,25,32,127.7,27,4,2130,0.538461538461538
"4331",1,18,22,299,2,0,31,21,97,15,4,1740,0.5
"4332",0,31,18,432,3,2,23,1,101.4,16,2,1473,0
"4333",1,13,17,401,1,0,24,27,63.5,17,5,1650,0.285714285714286
"4334",0,20,21,433,0,1,27,27,110.9,20,4,1663,0.416666666666667
"4335",1,13,18,303,2,1,30,50,68.2,14,5,1582,0.142857142857143
"4336",0,27,17,277,0,2,19,8,109.6,23,5,1546,0.416666666666667
"4337",1,38,19,359,0,4,17,35,149.1,31,4,1673,0.444444444444444
"4338",0,22,18,402,1,0,26,21,89.5,18,3,1642,0.416666666666667
"4339",1,30,18,338,1,3,20,22,78.1,29,7,1993,0.352941176470588
"4340",0,40,19,402,1,3,14,22,93.9,34,6,1809,0.307692307692308
"4341",1,0,15,260,2,0,21,16,52.6,16,6,1479,0.1875
"4342",0,27,22,392,1,1,25,0,101.7,29,3,1901,0.583333333333333
"4343",1,35,20,441,2,1,24,3,87.2,25,2,1748,0.466666666666667
"4344",0,17,25,470,2,0,33,4,94,17,4,1662,0.181818181818182
"4345",1,14,21,370,2,0,26,9,61.4,20,5,1642,0.25
"4346",0,32,17,384,2,1,23,24,110,19,5,1608,0.461538461538462
"4347",1,24,24,389,4,4,23,0,78,37,3,2169,0.615384615384615
"4348",1,10,18,211,1,1,21,35,62.1,20,3,1640,0.5
"4349",0,14,10,213,4,2,15,0,35.2,16,6,1224,0.2
"4350",1,21,21,263,3,0,22,67,70.7,22,3,1801,0.333333333333333
"4351",0,26,24,370,1,2,28,32,121,24,3,1847,0.583333333333333
"4352",1,18,20,271,3,2,26,39,70.3,22,3,1916,0.3125
"4353",0,27,15,281,2,0,26,50,116.5,17,6,1756,0.444444444444444
"4354",0,14,14,243,1,2,21,16,84.7,21,5,1609,0.0833333333333333
"4355",1,13,20,335,3,0,20,0,49.4,27,1,1877,0.357142857142857
"4356",0,17,11,255,0,1,15,21,91.2,20,9,1319,0.166666666666667
"4357",1,36,24,412,3,1,21,10,85.2,33,5,1867,0.454545454545455
"4358",0,41,28,552,0,0,28,6,131.5,26,4,1917,0.571428571428571
"4359",1,17,19,397,2,0,28,26,74.3,21,6,1715,0.3125
"4360",1,16,20,291,2,1,26,17,77.5,20,5,1696,0.533333333333333
"4361",0,13,22,295,2,2,25,21,66.7,18,3,1531,0.230769230769231
"4362",1,9,13,231,3,0,17,14,54.8,15,1,1216,0.4
"4363",0,9,19,295,1,1,23,31,62.2,25,5,1998,0.307692307692308
"4364",0,34,20,300,1,2,20,11,79.2,27,2,1942,0.538461538461538
"4365",1,20,16,240,1,2,12,4,74,26,2,1590,0.636363636363636
"4366",0,21,17,325,3,1,20,22,88.9,22,6,1642,0.3
"4367",1,23,24,357,2,1,26,18,75.1,24,4,1790,0.363636363636364
"4368",0,23,22,350,0,5,23,28,90.8,35,4,2187,0.4
"4369",1,27,22,382,0,0,21,13,99,36,4,1903,0.357142857142857
"4370",0,19,19,386,1,3,22,0,77.1,42,5,2246,0.428571428571429
"4371",0,17,13,290,1,2,13,5,66.5,31,7,1789,0.25
"4372",1,7,10,159,3,0,13,64,61.3,17,8,1327,0.25
"4373",1,6,14,288,0,0,19,7,79.4,21,2,1557,0.454545454545455
"4374",0,13,24,269,0,1,24,37,80.8,12,3,1491,0.1
"4375",1,23,22,336,2,1,17,18,103.9,28,5,1647,0
"4376",1,13,19,314,1,1,22,13,89.2,20,3,1492,0.5
"4377",0,29,21,391,0,1,22,21,99.5,28,3,1904,0.333333333333333
"4378",1,14,21,346,1,1,24,20,88.5,27,5,1911,0.5
"4379",0,27,21,485,1,1,28,0,108.5,20,4,1655,0.363636363636364
"4380",0,20,20,367,2,2,21,0,65.5,25,2,1668,0.307692307692308
"4381",1,11,21,261,4,2,29,41,41.4,18,4,1658,0.266666666666667
"4382",1,25,21,302,0,1,24,20,95.1,31,5,2075,0.4375
"4383",0,17,18,300,1,2,23,13,96.5,20,5,1522,0.333333333333333
"4384",1,23,16,247,1,3,15,12,101.7,31,3,1811,0.5
"4385",0,10,15,215,3,1,23,18,54.3,13,4,1461,0.111111111111111
"4386",1,13,17,264,0,4,19,8,92.9,27,5,1922,0.25
"4387",0,9,16,250,1,0,23,28,51.2,17,6,1760,0.375
"4388",0,21,20,316,2,0,17,10,67.5,26,5,1540,0.5
"4389",1,6,15,302,4,1,19,3,31.9,24,2,1597,0.428571428571429
"4390",0,10,15,192,2,0,23,10,46.8,27,8,1852,0.4
"4391",0,3,13,155,4,2,4,30,5.3,40,4,1792,0.0909090909090909
"4392",1,7,10,177,3,0,15,20,38.8,25,6,1663,0.352941176470588
"4393",0,21,19,394,2,1,17,32,109.5,32,6,1734,0.2
"4394",1,19,18,265,0,2,22,14,85.7,33,5,2165,0.333333333333333
"4395",1,16,22,336,1,0,20,27,54.9,25,3,1638,0.272727272727273
"4396",1,20,21,333,2,3,9,11,41.4,44,5,1877,0.428571428571429
"4397",0,27,24,338,0,0,21,4,99.5,31,2,1931,0.545454545454545
"4398",1,24,18,238,1,2,19,18,109.3,31,4,1912,0.5
"4399",0,23,27,436,0,1,19,2,93.7,39,2,2050,0.5
"4400",0,13,14,225,2,1,17,29,67.5,28,6,2014,0.375
"4401",1,24,19,367,0,2,13,21,148.2,47,6,2000,0.5
"4402",1,18,25,413,3,0,27,17,72.5,26,4,1692,0.384615384615385
"4403",0,20,21,300,0,2,21,18,86.6,21,4,1551,0.272727272727273
"4404",1,20,20,316,1,1,25,18,101.9,30,7,1729,0.307692307692308
"4405",1,22,18,304,1,0,23,35,106.4,24,5,1650,0.307692307692308
"4406",0,20,19,288,0,2,21,0,77.6,30,5,1830,0.2
"4407",0,24,23,445,2,0,30,15,91.3,21,4,1753,0.272727272727273
"4408",1,38,26,394,1,1,19,0,125.2,37,1,1896,0.571428571428571
"4409",0,16,18,284,0,1,23,13,74.5,21,6,1714,0.285714285714286
"4410",1,15,14,354,1,1,18,25,77.6,31,5,1926,0.285714285714286
"4411",0,19,7,127,1,7,9,22,58.7,33,8,2020,0.133333333333333
"4412",0,38,17,387,2,2,12,0,106.5,32,1,1614,0.444444444444444
"4413",1,14,14,210,1,2,12,15,54.9,27,5,1769,0.363636363636364
"4414",1,28,22,378,1,3,16,0,112.7,35,6,1916,0.5
"4415",0,23,15,348,2,2,19,12,130.2,27,3,1849,0.4
"4416",0,10,13,279,2,2,17,24,63.2,21,4,1554,0.3
"4417",0,27,14,314,2,2,18,9,93.3,32,5,1939,0.428571428571429
"4418",1,26,27,425,1,0,30,38,94.7,16,5,1712,0.416666666666667
"4419",1,35,18,431,1,3,18,6,126.9,33,7,1967,0.5
"4420",0,19,28,426,1,2,20,26,80.4,45,5,2723,0.631578947368421
"4421",0,13,17,288,1,1,22,19,73.8,24,6,2048,0.285714285714286
"4422",1,23,18,354,0,3,21,27,84.3,27,5,2071,0.466666666666667
"4423",1,17,25,378,0,0,23,32,75.2,25,4,1878,0.647058823529412
"4424",1,27,22,408,2,2,22,27,107.9,33,3,2124,0.333333333333333
"4425",0,41,24,418,0,3,21,7,137.9,30,2,1994,0.615384615384615
"4426",0,7,20,312,7,0,22,34,49.4,16,4,1649,0.333333333333333
"4427",1,24,23,421,0,0,23,16,114.6,35,3,2324,0.533333333333333
"4428",0,23,19,408,3,1,25,23,94.5,28,3,2038,0.533333333333333
"4429",0,10,20,296,1,0,16,28,57.4,22,4,1697,0.416666666666667
"4430",1,38,26,431,1,1,25,4,119.9,28,2,1942,0.583333333333333
"4431",1,17,15,370,0,0,12,15,93.6,32,6,1873,0.466666666666667
"4432",0,32,26,445,0,1,26,7,121.1,28,3,2147,0.5
"4433",1,25,29,427,1,0,36,36,94.5,23,1,2362,0.625
