"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"13119","30","23","273","190","83","","26","44","6","30","76.9","26","9","431","5","17","1","1","37:39"
"14119","29","17","389","266","123","1","21","25","1","4","124.3","22","3","150","3","10","2","2","28:08"
"15119","21","14","323","258","65","3","17","26","1","6","94.7","27","5","168","5","11","0","1","28:15"
"16119","17","13","316","159","157","1","15","28","1","4","55.5","28","6","273","4","14","1","2","29:25"
"17119","33","23","484","246","238","1","26","37","0","0","95.1","37","4","164","9","17","0","0","38:01"
"18119","37","26","365","262","103","1","21","28","1","2","112.5","31","1","44","8","12","0","0","30:48"
"2217","42","26","537","352","185","1","28","35","3","16","146.7","27","6","262","4","11","0","0","30:14"
"3217","27","16","344","232","112","","21","28","4","19","111.0","19","5","227","5","12","0","0","29:11"
"4217","24","16","311","122","189","","16","21","5","33","121.5","25","5","249","4","12","0","1","30:26"
"5217","29","29","429","261","168","","27","37","4","32","101.3","31","3","105","8","13","0","0","37:09"
"6119","42","29","450","323","127","","29","37","1","1","130.1","35","2","86","9","16","0","0","38:17"
"7217","13","12","251","223","28","","19","34","3","23","85.8","15","4","190","3","11","0","2","23:21"
"8217","30","19","425","331","94","","25","36","1","11","126.0","23","3","137","8","15","0","0","30:36"
"9217","29","16","276","197","79","2","14","32","1","5","61.6","26","5","209","2","12","0","0","28:37"
"10119","17","17","323","255","68","1","25","34","2","8","102.0","19","5","231","4","11","0","1","28:43"
"12217","9","22","363","229","134","3","27","41","1","1","49.7","29","5","215","3","11","1","1","37:16"
"13217","10","14","236","181","55","1","23","36","2","18","74.0","19","8","390","2","13","0","1","26:42"
"14217","31","17","474","362","112","","19","33","2","4","135.4","11","2","98","3","8","0","1","17:11"
"15217","26","23","408","243","165","1","20","34","4","25","68.6","33","3","103","5","13","0","0","36:40"
"16217","30","20","397","223","174","","23","30","1","8","119.2","32","3","129","6","14","1","1","33:21"
"17217","29","23","404","301","103","","25","39","1","3","96.2","34","1","49","8","16","0","1","37:53"
"18217","27","23","379","269","110","2","22","36","2","15","72.6","27","5","256","4","11","1","1","29:03"
"2316","38","19","362","256","106","","15","27","1","0","127.5","27","5","256","4","10","0","0","25:34"
"3316","42","24","449","322","127","1","23","28","1","4","154.2","25","2","100","2","5","0","0","27:49"
"4316","38","31","384","307","77","","24","38","2","7","114.7","28","2","87","7","11","1","1","30:01"
"5316","27","22","446","304","142","","28","45","1","0","89.5","26","4","168","7","15","2","2","35:02"
"6217","30","26","424","298","126","2","22","38","1","15","61.1","30","2","116","4","12","0","0","32:43"
"7316","40","18","446","352","94","2","23","36","0","0","110.0","17","1","51","4","10","1","1","23:51"
"8316","45","33","551","353","198","1","28","39","2","5","123.1","29","0","0","9","12","0","1","33:43"
"9316","30","20","340","291","49","1","24","34","2","12","123.5","18","5","196","3","10","1","1","27:19"
"10217","37","27","499","360","139","1","23","32","2","15","127.1","24","2","63","6","10","0","0","29:09"
"11217","26","20","330","212","118","","21","28","5","37","119.9","23","5","233","4","11","0","0","28:13"
"12316","51","27","546","448","98","5","33","46","3","30","114.9","20","3","142","5","10","1","1","29:37"
"14316","40","25","469","295","174","1","23","38","0","0","120.0","30","3","123","6","13","1","1","29:14"
"15316","27","30","442","348","94","1","35","53","3","29","89.2","27","3","111","6","16","3","3","37:00"
"16316","28","22","294","234","60","","24","34","2","9","109.2","17","4","203","6","10","0","0","26:44"
"17316","31","22","419","265","154","2","23","40","1","8","102.6","19","3","144","5","12","1","1","24:58"
"18316","35","18","409","310","99","1","16","27","0","0","108.6","27","1","28","5","9","1","3","26:04"
"2416","40","24","491","378","113","","25","34","0","0","139.1","26","1","51","5","10","0","0","31:15"
"3416","28","24","467","436","31","1","30","44","2","7","130.5","22","5","196","8","14","0","0","32:35"
"4416","33","27","503","363","140","","27","37","1","11","130.8","25","2","88","5","9","0","1","27:16"
"5416","34","29","438","315","123","3","24","42","0","0","81.0","25","2","91","4","9","1","1","26:05"
"6316","13","18","324","288","36","1","22","39","4","33","88.4","14","4","155","4","12","1","2","22:45"
"7416","24","20","309","256","53","2","19","35","1","17","94.5","11","2","119","4","8","0","0","20:12"
"8416","30","14","271","191","80","","20","30","1","2","106.4","27","6","266","5","15","1","1","32:13"
"9416","24","21","337","249","88","1","24","36","2","18","105.0","20","3","154","6","11","0","0","26:47"
"10316","26","17","377","230","147","1","25","35","5","45","98.5","18","5","251","4","13","1","1","31:48"
"11316","32","28","530","433","97","1","36","51","2","13","115.9","25","1","26","7","14","1","2","37:52"
"12416","24","18","310","180","130","1","19","32","1","2","72.4","27","6","240","6","13","0","0","28:58"
"14416","40","22","259","163","96","","15","29","1","12","80.1","29","2","83","7","11","0","1","28:19"
"15416","23","20","346","271","75","2","26","40","1","12","82.4","29","4","131","5","16","1","1","34:21"
"16416","23","27","419","327","92","1","27","34","3","13","114.1","25","2","79","6","11","0","0","33:33"
"17416","26","25","350","244","106","","23","33","1","7","111.2","29","2","93","6","11","0","0","33:24"
"18416","31","16","336","174","162","1","16","25","0","0","81.1","23","2","103","7","10","0","0","23:56"
"2516","34","28","369","203","166","","24","32","1","8","122.3","34","3","136","7","13","1","1","34:47"
"3516","23","23","414","289","125","","27","47","1","13","89.8","22","5","221","7","15","1","1","28:38"
"4516","34","29","517","385","132","1","31","42","0","0","133.5","31","1","58","10","13","0","2","33:56"
"5516","26","19","323","229","94","1","19","29","1","7","112.6","25","4","243","4","11","0","0","28:26"
"6416","32","21","413","333","80","1","22","43","3","7","82.8","20","5","244","6","14","1","2","24:42"
"7516","26","27","466","221","245","1","21","26","1","4","127.7","46","2","80","9","14","1","1","37:45"
"8516","43","17","286","185","101","1","17","25","4","28","102.9","22","3","133","0","8","0","0","26:36"
"9516","35","25","496","446","50","","35","47","0","0","139.1","20","3","122","7","13","1","3","31:30"
"10415","33","24","397","361","36","1","30","45","2","11","120.7","11","1","36","6","11","0","0","21:59"
"12515","35","36","460","352","108","1","35","46","0","0","102.8","27","2","107","5","9","2","2","32:05"
"13316","27","26","543","456","87","1","37","50","2","6","121.7","20","4","159","6","12","0","0","36:47"
"14515","22","25","447","313","134","","25","40","1","5","95.1","22","3","112","3","10","0","0","29:29"
"15516","33","22","448","354","94","4","24","34","3","39","87.1","24","4","198","5","11","1","1","28:30"
"16516","32","34","411","232","179","1","26","47","4","22","90.0","41","6","243","9","18","0","0","41:14"
"17516","17","23","395","278","117","2","24","45","0","0","68.6","21","4","165","5","13","1","2","26:48"
"18516","21","18","268","217","51","1","23","32","1","1","111.1","17","2","82","6","9","0","1","25:11"
"2616","33","21","397","324","73","","27","36","2","13","129.9","23","2","91","9","13","0","0","32:47"
"3616","35","22","405","343","62","2","24","31","0","0","131.5","18","3","135","1","6","0","0","24:01"
"4616","24","33","437","251","186","4","27","44","2","9","80.8","30","1","51","6","10","0","0","32:31"
"5615","42","31","471","271","200","1","24","30","1","7","130.0","32","0","0","9","10","0","0","30:52"
"6516","20","29","392","272","120","4","33","54","2","0","70.9","23","2","88","5","12","0","1","32:25"
"7612","31","29","499","390","109","3","32","47","3","7","89.8","28","2","53","11","17","1","2","33:53"
"8614","3","22","334","257","77","3","31","51","4","31","65.6","13","2","93","4","11","2","3","23:39"
"9611","20","29","368","261","107","2","29","48","2","14","73.4","27","4","203","5","12","0","0","34:38"
"10514","13","14","237","160","77","","20","37","1","6","74.2","25","6","341","5","14","1","2","28:27"
"11416","41","29","516","422","94","1","36","51","0","0","128.1","25","1","42","9","15","3","3","35:26"
"12613","19","22","370","244","126","2","23","37","3","16","70.1","26","4","197","4","12","0","0","30:47"
"14614","22","15","267","178","89","1","15","29","1","6","56.4","24","4","190","5","12","0","0","26:30"
"15616","48","21","372","240","132","","20","24","3","18","136.1","30","1","52","9","13","0","0","33:35"
"16616","34","26","496","410","86","2","31","47","1","0","105.8","20","1","32","7","12","0","1","28:12"
"17616","36","25","381","254","127","","23","30","2","4","134.6","35","2","91","4","11","1","1","34:42"
"18616","31","23","414","259","155","","26","35","0","0","113.9","23","3","108","6","11","1","1","30:54"
"1926","28","28","390","255","135","","27","44","1","15","92.5","29","2","101","8","14","1","1","33:04"
"2716","44","33","488","360","128","1","30","39","0","0","144.2","27","2","108","5","8","1","1","34:42"
"3716","27","15","319","226","93","","24","35","1","9","105.2","18","6","333","4","12","0","0","26:23"
"4716","17","20","315","257","58","2","20","36","1","5","75.8","23","3","170","3","10","1","2","26:28"
"5712","41","27","417","228","189","1","23","37","3","21","95.3","37","1","43","12","17","0","1","38:38"
"6614","30","29","368","265","103","","29","43","3","27","115.0","23","3","145","7","12","0","0","31:07"
"777","20","23","387","319","68","2","25","40","3","19","83.2","18","3","173","4","11","1","1","28:32"
"878","44","24","529","417","112","2","25","36","1","6","124.4","21","1","33","6","9","0","0","26:15"
"10610","20","29","499","422","77","1","43","68","4","24","79.4","19","6","283","8","19","2","2","41:28"
"11515","27","26","486","331","155","3","26","35","0","0","129.6","27","2","91","7","10","1","1","28:21"
"1279","30","23","485","322","163","1","20","34","1","7","120.0","27","2","92","5","10","0","0","27:41"
"13416","26","29","437","320","117","2","27","42","0","0","85.4","30","1","49","5","11","0","0","32:26"
"14712","24","20","349","211","138","1","16","27","2","12","96.4","25","1","55","6","11","2","2","27:54"
"15712","34","20","431","342","89","3","28","42","2","10","85.6","23","3","199","6","12","0","0","30:13"
"16716","30","33","502","313","189","2","36","41","2","23","114.7","33","4","193","6","12","0","0","37:22"
"17716","24","14","297","220","77","","16","28","1","4","106.2","22","6","246","3","11","0","1","24:58"
"18713","27","22","374","328","46","2","29","42","0","0","106.1","16","5","263","2","9","1","1","26:54"
"19116","31","21","349","181","168","","18","26","2","21","101.6","28","4","196","5","9","0","0","25:47"
"283","10","15","321","217","104","5","18","32","3","14","74.6","28","2","121","8","16","1","2","31:40"
"383","28","13","274","158","116","","8","15","2","14","130.0","30","6","319","4","11","0","1","24:49"
"483","20","21","355","316","39","2","28","49","5","25","81.7","14","4","211","8","16","1","1","27:31"
"583","27","20","432","332","100","1","32","41","4","24","116.7","21","4","192","4","13","0","0","34:19"
"680","33","25","505","422","83","","36","51","4","35","108.5","25","5","217","12","19","0","0","39:16"
"778","23","20","298","189","109","3","20","39","4","24","60.7","33","7","322","6","15","0","1","33:20"
"879","6","19","364","282","82","4","30","37","4","15","98.4","24","5","227","3","12","0","1","35:33"
"979","20","16","254","215","39","2","21","40","1","8","82.8","20","6","299","9","16","0","1","25:37"
"1075","10","13","213","144","69","","15","33","3","24","68.2","17","6","274","4","13","1","2","23:57"
"1179","9","20","342","327","15","3","33","45","6","45","91.6","14","4","160","5","13","1","3","32:43"
"1383","27","21","338","275","63","","28","48","2","14","88.5","18","6","283","4","15","2","2","30:30"
"1483","3","18","273","205","68","2","25","38","3","25","68.4","19","3","119","6","13","0","2","29:02"
"1583","24","28","481","251","230","2","21","31","2","19","89.6","41","3","119","6","12","0","0","37:39"
"1683","13","15","230","136","94","1","19","32","3","25","66.7","17","3","129","6","12","0","0","25:27"
"1783","13","21","368","136","232","1","13","32","0","0","40.6","36","3","135","6","15","3","4","31:04"
"1883","12","22","263","177","86","4","24","46","7","63","43.5","23","3","143","4","16","1","4","33:57"
"2120","10","14","288","168","120","1","12","26","3","22","51.4","21","5","251","2","10","0","2","20:40"
"3120","20","17","387","242","145","2","20","33","3","18","78.1","23","5","226","8","15","1","1","29:01"
"4120","24","21","430","261","169","1","24","38","4","18","83.3","32","5","223","4","15","0","0","37:22"
"5120","20","26","380","217","163","3","28","40","1","6","80.9","28","1","55","8","12","0","1","28:57"
"6120","13","17","262","235","27","1","20","35","2","14","84.8","22","6","267","5","13","0","1","25:21"
"7120","26","16","341","301","40","","27","42","6","36","101.4","15","7","356","3","14","2","2","28:59"
"8120","17","22","352","172","180","2","21","35","2","10","48.8","26","5","209","6","14","0","0","31:48"
"9120","28","22","407","339","68","2","27","51","1","6","70.6","18","5","207","8","16","0","0","26:19"
"10120","10","13","222","177","45","","19","27","4","26","100.4","13","5","220","1","9","1","1","20:21"
"11120","7","11","144","111","33","3","17","31","4","39","46.6","13","7","300","2","10","0","0","21:24"
"1280","9","17","209","176","33","2","21","41","8","70","60.6","13","3","139","4","15","5","5","26:02"
"13120","13","21","343","285","58","3","25","44","7","37","84.0","21","8","362","3","14","1","2","33:51"
"15120","10","13","254","85","169","1","12","28","3","19","35.6","22","6","276","6","14","1","1","25:07"
"16120","13","16","269","162","107","","17","28","5","34","76.8","21","5","222","3","11","1","1","25:41"
"17120","20","23","251","127","124","","19","28","9","48","77.5","29","6","258","6","15","1","1","32:29"
"18120","24","27","437","206","231","4","29","40","4","26","90.2","33","4","190","8","15","0","0","38:54"
"2218","18","20","237","180","57","1","20","30","7","42","79.9","25","6","242","3","12","2","2","31:10"
"3218","10","20","386","293","93","5","20","42","3","7","39.2","21","4","209","2","12","1","2","26:36"
"4218","28","25","346","235","111","3","22","47","1","7","49.5","21","7","347","5","13","0","0","26:33"
"5218","7","16","215","170","45","1","21","42","2","13","50.7","17","6","295","5","16","1","2","24:58"
"6218","14","22","419","279","140","3","24","36","1","2","85.3","33","2","113","6","14","1","2","34:26"
"7218","17","16","247","113","134","3","20","37","4","27","35.1","22","7","358","3","14","0","0","30:56"
"8218","9","19","284","218","66","3","22","39","2","17","40.3","26","4","178","3","13","1","2","32:42"
"9218","16","16","276","161","115","2","18","34","3","18","65.9","22","6","279","4","13","0","1","22:08"
"11218","24","26","413","212","201","2","22","40","4","25","67.9","33","5","241","5","15","4","4","34:34"
"12120","7","11","184","134","50","5","16","32","5","45","45.6","18","8","376","3","13","0","1","23:05"
"13218","16","21","405","236","169","","18","32","4","32","79.7","31","3","108","6","15","2","3","29:28"
"14120","10","17","291","202","89","2","15","32","3","13","64.8","22","3","117","5","11","0","1","25:03"
"15218","21","17","345","209","136","2","20","28","2","5","98.7","27","4","209","7","13","0","0","28:38"
"16218","10","15","266","136","130","4","20","37","2","10","39.9","19","5","216","5","14","0","1","23:12"
"17218","3","12","254","178","76","3","18","36","1","4","41.2","20","7","334","4","13","0","1","26:46"
"18218","24","17","374","272","102","2","16","30","6","42","92.6","27","5","205","7","15","0","1","30:55"
"2317","21","22","327","150","177","1","15","40","7","47","46.9","38","12","522","5","18","0","1","34:48"
"3317","18","16","327","234","93","1","22","30","3","12","92.9","27","3","118","4","12","1","2","27:19"
"4317","21","20","323","190","133","","21","37","4","30","70.8","33","8","273","7","18","0","0","30:52"
"5317","42","21","487","279","208","4","21","41","2","16","69.1","31","7","350","5","15","1","1","31:23"
"6317","12","20","416","304","112","1","25","43","5","38","78.1","28","9","452","6","19","0","1","36:16"
"7317","14","18","317","214","103","2","22","46","5","24","50.5","21","6","242","6","16","1","3","28:23"
"8317","23","17","305","186","119","1","23","34","5","29","100.9","23","9","465","3","14","0","2","30:27"
"9317","18","17","237","163","74","1","22","36","2","17","78.8","21","5","235","3","13","1","1","27:48"
"10218","21","26","388","286","102","1","30","43","2","22","93.8","25","2","39","5","13","2","3","30:51"
"11317","28","19","427","216","211","1","17","21","0","0","129.3","29","4","187","4","8","0","0","28:37"
"13317","35","24","342","258","84","","19","26","0","0","143.9","35","4","188","5","10","1","1","32:04"
"14218","13","20","428","397","31","4","29","43","0","0","75.4","9","2","91","2","8","0","2","22:25"
"15317","26","12","348","232","116","2","18","23","1","6","123.2","21","3","143","4","9","0","0","26:10"
"16317","17","21","309","175","134","2","18","31","2","13","82.1","28","4","194","5","12","1","2","27:18"
"17317","26","23","493","347","146","","28","38","0","0","127.9","28","3","88","5","12","1","1","35:31"
"18317","24","18","426","376","50","3","23","42","0","0","79.1","14","4","180","4","11","0","1","21:30"
"2417","13","19","346","244","102","3","25","38","5","41","59.5","20","5","233","1","10","0","2","30:42"
"3417","23","16","375","305","70","1","19","35","3","20","81.2","21","6","231","4","13","0","0","29:41"
"4417","13","18","270","175","95","1","18","36","3","20","61.7","24","6","240","6","16","0","2","31:37"
"5417","40","22","530","337","193","1","20","31","1","5","98.5","29","3","127","6","13","1","1","30:17"
"6417","3","9","180","78","102","4","9","24","4","42","12.2","18","7","397","1","11","0","0","22:17"
"7417","28","21","406","249","157","4","22","37","0","0","54.9","24","2","61","3","8","2","3","26:19"
"9417","13","15","310","151","159","3","20","31","5","43","73.5","22","4","178","3","12","0","1","27:45"
"10317","19","21","351","261","90","","27","42","2","12","89.5","29","3","160","6","15","0","2","35:30"
"11417","19","24","368","221","147","","26","38","2","17","100.9","26","3","146","4","11","1","2","31:46"
"12218","21","17","293","189","104","","17","32","1","4","91.8","35","8","366","6","16","0","0","33:58"
"13417","41","30","467","320","147","1","24","34","1","7","117.3","32","1","37","4","8","0","0","36:06"
"14317","13","19","279","173","106","2","18","34","5","23","65.0","24","4","181","4","12","1","2","32:06"
"15417","27","17","333","187","146","2","11","24","1","5","38.0","27","2","83","7","12","0","0","25:29"
"16417","24","25","393","241","152","2","30","43","1","6","89.4","23","2","83","9","14","1","1","30:49"
"17417","15","17","241","184","57","1","20","33","1","8","83.4","19","5","220","3","12","0","0","25:41"
"18417","23","15","313","239","74","3","12","27","6","40","73.5","20","4","207","4","13","1","1","25:19"
"2517","6","20","306","168","138","3","21","39","2","21","62.8","27","3","137","3","12","0","3","30:02"
"3517","35","23","434","219","215","1","16","23","0","0","110.6","35","1","43","5","8","1","2","26:21"
"4517","34","19","300","142","158","","16","23","2","14","114.8","37","5","229","5","14","1","1","33:37"
"5517","49","33","508","201","307","","20","31","2","1","115.1","40","4","171","5","11","0","0","33:32"
"6517","32","22","385","261","124","2","22","38","1","4","74.6","33","2","93","10","17","1","1","34:45"
"7517","7","12","220","145","75","2","15","28","4","20","50.4","22","6","242","1","12","0","3","25:54"
"8417","37","23","398","316","82","1","23","29","0","0","137.3","22","1","50","5","7","0","0","27:03"
"9517","6","14","223","122","101","1","12","25","0","0","62.4","22","2","109","3","10","2","2","22:17"
"11516","10","20","356","125","231","","12","20","1","7","78.1","41","4","174","6","12","0","1","33:20"
"12317","22","17","324","187","137","1","12","22","3","17","83.0","40","5","225","4","14","0","2","31:44"
"13516","27","25","459","252","207","1","19","29","2","6","115.9","33","1","47","5","11","1","2","32:41"
"14417","41","26","458","340","118","1","26","34","0","0","146.7","36","3","123","10","16","0","1","36:46"
"15517","42","33","493","355","138","1","29","48","0","0","88.5","28","2","91","5","12","2","2","31:57"
"16517","20","24","392","286","106","","27","32","1","11","124.7","30","3","120","9","13","0","1","34:03"
"17517","16","23","299","254","45","2","28","53","4","31","66.1","18","6","251","6","15","0","1","28:12"
"18517","24","21","358","166","192","","17","27","4","30","92.5","31","3","139","6","12","0","2","32:10"
"2617","29","24","457","304","153","2","21","28","2","17","94.9","26","1","52","2","7","3","4","27:13"
"3617","31","22","355","199","156","2","19","21","2","14","102.2","34","2","80","4","9","0","0","35:05"
"4617","26","26","418","203","215","","19","31","5","43","91.2","42","2","82","8","17","1","3","39:34"
"5616","14","20","327","143","184","","15","33","3","12","58.0","38","7","279","7","18","0","1","35:32"
"6615","42","25","531","301","230","","23","32","1","4","122.0","35","3","134","4","12","1","3","36:28"
"7613","14","16","290","217","73","3","20","31","5","23","93.1","19","2","106","3","10","1","4","25:21"
"8517","17","23","376","194","182","","21","33","1","5","89.7","33","3","155","9","15","1","1","36:51"
"9612","10","19","306","210","96","1","20","31","4","15","84.1","23","4","197","3","10","0","2","28:15"
"10416","41","14","361","208","153","","14","21","2","10","130.7","23","3","118","3","9","0","0","24:38"
"11613","7","17","217","118","99","1","19","33","5","36","62.4","20","4","189","1","11","2","4","25:58"
"12417","13","22","349","165","184","2","15","29","1","11","51.7","36","5","189","5","13","0","0","34:56"
"13615","10","14","262","222","40","2","18","37","3","25","76.6","17","6","261","4","13","0","1","22:56"
"15617","24","20","290","190","100","1","22","32","0","0","91.9","29","5","196","6","13","0","0","33:50"
"16617","14","13","236","147","89","","20","30","0","0","89.2","24","7","313","6","14","1","1","26:36"
"17617","22","28","408","189","219","4","21","36","5","33","51.5","25","1","37","7","12","1","1","31:41"
"18617","14","15","232","139","93","2","16","38","9","46","48.0","20","8","342","5","17","1","3","25:05"
"1927","21","24","376","171","205","2","17","24","1","5","101.2","41","4","150","6","12","0","1","30:56"
"2717","26","23","355","138","217","","18","34","1","9","72.9","39","4","187","8","18","1","2","38:26"
"3717","30","29","405","221","184","1","22","27","1","8","97.7","37","3","156","8","12","0","0","32:14"
"4717","29","22","376","205","171","","21","31","2","15","107.6","38","5","203","6","16","3","4","36:09"
"5713","20","22","403","226","177","2","21","35","1","8","67.1","35","3","144","5","14","2","3","35:44"
"6710","28","27","443","230","213","1","21","34","0","0","79.3","31","2","119","4","10","0","1","30:02"
"779","15","16","328","258","70","4","21","45","4","8","53.8","18","3","133","4","15","3","5","24:55"
"8615","20","18","336","223","113","2","22","27","5","35","101.1","24","3","173","2","11","1","1","25:56"
"9710","32","24","440","268","172","2","17","23","2","10","108.6","44","2","67","8","13","0","0","36:45"
"11710","17","20","297","185","112","1","22","35","3","27","86.0","24","1","41","5","12","2","5","26:46"
"12516","23","27","396","316","80","1","28","41","1","8","115.5","26","3","127","4","11","1","2","31:22"
"13713","23","22","367","178","189","1","23","37","4","32","71.7","34","6","329","5","17","2","4","39:04"
"14516","27","14","304","130","174","2","12","22","1","1","53.2","38","6","311","4","13","0","0","32:16"
"15713","10","18","344","273","71","1","26","43","2","3","77.0","25","4","220","4","15","3","6","31:52"
"16717","13","19","283","140","143","","18","28","3","21","88.4","33","3","155","5","15","2","2","33:08"
"17717","10","15","249","125","124","1","15","31","2","10","45.8","34","5","213","7","16","1","3","30:46"
"18714","24","16","301","155","146","","9","18","5","14","119.2","30","4","187","4","11","1","2","26:28"
"19117","14","18","307","173","134","2","19","29","7","57","75.8","22","4","194","5","12","1","2","29:04"
"284","9","18","265","169","96","3","22","40","5","14","53.0","21","5","231","3","12","1","2","25:54"
"384","23","19","396","273","123","","18","33","0","0","102.2","33","7","317","5","14","0","0","30:08"
"484","17","15","293","236","57","1","17","33","2","6","82.4","20","4","195","6","12","0","1","25:20"
"584","13","21","431","289","142","","28","50","1","9","79.5","28","8","307","7","18","0","0","36:10"
"681","31","21","325","270","55","2","23","33","6","33","121.2","17","4","221","2","8","1","1","25:19"
"780","20","26","394","311","83","3","30","53","3","20","69.0","21","5","234","5","15","2","2","29:58"
"880","34","17","295","175","120","1","13","29","2","7","73.2","32","6","269","5","14","0","1","28:38"
"1076","23","19","436","338","98","4","24","40","6","43","83.1","19","5","203","7","16","0","0","29:16"
"1180","22","22","258","168","90","1","22","45","3","20","63.9","22","7","364","4","16","0","0","30:32"
"1281","19","18","308","218","90","2","21","31","4","24","85.1","23","4","192","4","13","0","0","28:25"
"1384","25","20","420","318","102","1","30","49","2","11","85.2","19","3","124","5","15","2","3","28:36"
"1484","39","20","383","302","81","1","24","36","2","20","132.2","21","3","160","10","14","0","1","26:26"
"1584","51","24","380","226","154","2","16","30","3","24","111.2","29","5","228","2","9","1","1","29:12"
"1684","17","21","370","285","85","1","23","38","2","12","81.6","20","6","254","0","8","0","1","25:27"
"1784","27","21","412","347","65","2","27","35","2","21","122.0","15","3","150","6","9","0","0","22:07"
"1884","6","11","215","183","32","4","17","32","8","56","44.1","14","5","251","1","12","1","2","24:23"
"2121","23","20","348","300","48","1","24","39","3","20","83.3","26","2","125","4","15","3","4","31:23"
"3121","14","20","388","319","69","3","31","50","2","10","77.0","11","4","179","2","11","1","2","25:08"
"4121","17","14","216","168","48","3","24","38","4","26","57.8","21","6","249","6","16","0","0","28:54"
"5121","30","23","331","195","136","","19","33","3","12","94.9","29","5","269","3","11","1","1","27:21"
"7121","17","20","317","263","54","2","20","33","2","8","83.3","20","5","275","2","10","0","0","24:13"
"8121","16","19","344","239","105","3","23","43","1","7","58.2","16","5","239","4","13","0","0","26:33"
"980","22","27","370","322","48","1","33","54","2","15","96.4","11","6","275","6","13","0","1","25:35"
"10121","14","25","449","244","205","4","22","41","2","8","77.7","32","4","167","5","13","0","2","29:39"
"11121","21","23","327","247","80","2","32","49","2","18","82.6","22","3","115","10","17","0","1","32:10"
"12121","19","16","285","202","83","3","22","35","0","0","73.7","27","6","245","4","14","0","0","32:55"
"13121","21","20","301","118","183","","13","26","2","8","88.3","37","6","273","8","15","0","1","33:35"
"14121","10","19","333","179","154","3","19","42","1","2","37.7","38","8","369","6","18","1","2","34:34"
"15121","16","18","315","230","85","","23","37","4","27","88.8","24","4","163","7","16","1","1","29:04"
"16121","20","9","150","83","67","1","12","28","2","9","35.4","20","6","315","3","13","0","1","23:18"
"17121","38","25","415","331","84","1","27","39","2","14","112.2","28","3","143","4","12","0","0","32:31"
"18121","20","23","470","288","182","2","25","39","2","13","94.8","30","4","188","4","14","0","0","29:36"
"2219","29","19","280","125","155","","11","21","0","0","86.4","39","4","187","3","12","1","1","30:05"
"3219","16","20","310","211","99","3","20","34","2","12","62.3","25","5","246","6","13","0","0","29:14"
"4219","44","24","410","244","166","","20","33","0","0","123.0","35","3","150","3","12","2","2","34:03"
"5219","20","20","311","136","175","1","15","35","1","4","51.6","39","8","361","4","15","0","0","35:08"
"6121","30","15","313","82","231","1","8","14","2","13","44.3","37","5","190","6","12","0","0","28:52"
"7219","17","19","389","220","169","1","23","35","5","21","80.7","26","8","274","4","15","1","1","31:59"
"8219","27","23","518","330","188","2","18","27","1","0","120.9","37","2","107","8","14","0","1","32:47"
"10219","23","26","408","259","149","1","24","38","0","0","91.9","40","2","94","12","18","0","1","40:14"
"11219","20","20","398","263","135","2","28","51","3","10","59.5","27","9","431","5","18","1","2","35:01"
"12219","19","15","284","145","139","1","17","30","2","9","80.6","44","9","354","6","20","1","1","36:55"
"13219","24","19","219","128","91","3","19","33","3","32","53.6","22","8","396","1","12","1","1","25:21"
"14219","30","22","426","330","96","","27","36","1","8","121.3","27","2","76","9","15","1","1","33:47"
"15219","30","20","424","268","156","1","18","27","0","0","123.7","39","5","194","4","13","0","0","33:01"
"16219","45","25","464","326","138","","21","29","1","0","143.7","38","6","283","3","10","0","0","33:18"
"17219","33","32","472","380","92","3","32","50","1","2","75.4","28","4","156","5","13","2","2","30:49"
"18219","10","13","229","146","83","4","15","34","2","12","32.2","24","8","336","6","16","0","0","26:33"
"2318","20","17","305","168","137","1","18","33","1","8","66.2","28","7","264","4","13","0","0","29:31"
"3318","31","27","480","376","104","2","29","45","0","0","111.0","24","3","106","10","14","0","0","30:46"
"4318","6","12","232","145","87","1","21","34","3","10","71.3","19","6","273","5","14","0","1","27:13"
"5318","31","23","503","377","126","3","29","38","2","11","113.6","34","4","185","6","15","1","1","37:35"
"6219","14","29","502","401","101","5","33","61","5","29","52.7","17","3","108","7","16","3","5","27:17"
"7318","7","10","204","139","65","2","15","26","3","10","69.2","18","6","248","4","11","0","1","21:10"
"8318","7","15","259","189","70","3","27","42","4","28","72.4","22","6","274","9","19","0","1","30:25"
"9121","18","16","335","265","70","1","24","41","4","21","85.9","17","2","96","6","14","1","2","27:22"
"11318","26","24","415","324","91","1","27","39","0","0","111.5","34","3","138","9","17","1","1","35:10"
"12318","16","15","243","64","179","1","10","18","6","40","63.2","43","9","415","6","18","0","0","37:40"
"13318","21","25","333","107","226","2","12","23","3","20","43.2","39","6","287","5","13","0","0","32:42"
"14318","6","11","211","132","79","1","18","24","3","18","87.5","27","7","329","6","15","0","0","29:33"
"15318","9","17","255","195","60","1","25","43","4","45","77.2","20","5","250","2","12","2","5","30:40"
"16318","13","11","192","20","172","2","9","17","6","37","34.2","26","5","262","5","13","0","0","26:54"
"17318","17","19","244","118","126","1","17","24","6","27","81.6","32","5","188","6","13","0","0","34:45"
