"","Pts","1stD","TotYd","PassY","RushY","TO","Cmp","PA","Sk","SkYds","QBR","RA","Pnt","PntYds","3DConv","3DAtt","4DConv","4DAtt","ToP"
"1160","10","11","242","178","64","2","16","24","1","7","71.2","21","5","259","5","12","0","0","24:05"
"1260","13","22","316","212","104","1","22","35","4","19","79.7","26","5","226","5","13","0","0","31:35"
"1360","21","19","249","205","44","2","17","37","2","13","68.0","18","6","287","3","12","0","1","25:05"
"1460","42","26","467","257","210","2","20","29","4","11","116.6","35","3","133","8","13","0","0","33:34"
"1560","8","15","292","268","24","1","22","40","5","47","73.7","13","6","289","3","14","1","3","24:04"
"1660","16","15","282","223","59","3","23","34","5","51","80.9","21","5","272","3","12","0","1","30:23"
"1760","6","13","257","227","30","4","27","51","1","7","63.1","11","9","427","4","16","1","1","23:47"
"1860","24","14","231","94","137","1","15","27","4","43","59.8","27","6","300","4","14","1","2","26:43"
"2115","16","19","316","252","64","3","25","41","2","19","84.6","22","5","231","8","14","0","0","30:25"
"3115","16","22","363","224","139","1","25","33","3","14","101.1","24","3","142","5","12","1","1","30:51"
"4115","10","19","393","212","181","3","17","33","1","2","46.5","29","6","311","2","12","0","1","30:57"
"560","20","16","320","196","124","1","13","29","1","6","53.2","32","5","257","7","15","0","1","31:42"
"6115","30","23","398","163","235","","20","29","0","0","117.5","41","5","175","5","12","0","1","36:44"
"7115","28","19","407","270","137","1","17","24","2","14","130.2","31","5","225","7","13","0","0","31:01"
"8115","26","26","331","207","124","1","22","37","3","25","93.0","28","4","188","9","15","0","0","27:30"
"9115","36","25","494","280","214","","19","23","0","0","146.4","43","4","155","9","15","0","0","34:25"
"10115","35","24","393","313","80","3","27","43","0","0","88.6","19","4","182","5","11","1","1","23:31"
"11115","47","19","446","292","154","","20","27","1","13","148.5","31","4","166","7","14","0","1","29:31"
"12115","17","20","351","254","97","","25","38","5","36","102.3","27","5","219","5","14","1","3","31:01"
"13115","27","18","375","226","149","","15","23","0","0","126.4","29","4","177","5","11","0","0","29:25"
"15115","13","16","253","73","180","","6","21","2","15","41.6","42","7","308","6","16","0","0","32:27"
"16115","19","21","389","241","148","3","19","33","1","0","67.9","29","4","142","6","14","1","1","30:35"
"17115","17","19","263","205","58","1","21","44","3","18","67.0","20","7","313","5","14","0","1","27:29"
"18115","24","16","236","133","103","1","16","26","4","17","71.5","29","5","211","9","15","0","0","30:52"
"2213","16","21","350","255","95","","25","41","1","1","78.8","21","4","188","7","14","0","0","28:21"
"3213","37","21","390","211","179","1","15","27","1","4","77.9","36","3","125","6","13","0","0","30:46"
"4213","33","21","420","225","195","","20","32","0","0","104.3","35","6","341","4","14","0","0","32:41"
"5115","14","9","195","109","86","5","10","20","2","8","26.9","19","5","246","2","8","0","0","20:19"
"6213","10","14","188","119","69","2","21","32","6","22","82.7","20","10","549","2","13","0","0","30:15"
"7213","36","25","473","305","168","1","23","32","1","1","99.1","34","1","44","6","13","1","1","35:53"
"8213","12","16","269","189","80","1","21","34","2","14","76.7","32","4","208","5","17","0","1","35:23"
"10213","23","14","257","186","71","1","19","28","3","32","95.2","21","5","256","3","11","0","0","27:38"
"11213","24","27","416","236","180","2","25","44","4","28","69.9","36","6","339","7","15","0","0","40:09"
"12213","17","17","316","264","52","4","22","34","5","42","58.6","21","3","142","5","13","1","2","28:20"
"13213","20","19","276","184","92","2","17","25","0","0","69.4","28","3","139","3","8","0","0","28:38"
"14115","24","19","344","146","198","1","15","23","2","4","97.4","25","4","199","5","11","1","1","26:11"
"15213","7","14","204","139","65","2","16","31","3","20","36.9","22","6","313","4","12","0","2","26:11"
"16213","23","23","328","238","90","1","23","33","1","3","110.4","28","2","111","6","12","1","1","27:25"
"17213","23","19","366","269","97","1","22","39","1","6","67.1","26","4","145","3","12","0","1","29:56"
"18213","15","11","232","116","116","1","12","21","3","18","88.6","39","9","383","3","16","1","1","33:27"
"2312","20","19","336","220","116","3","20","38","0","0","37.2","29","4","179","6","14","0","2","29:35"
"3312","20","15","283","183","100","","15","22","1","8","123.9","34","5","261","5","15","2","2","30:22"
"4312","9","15","233","83","150","","13","21","3","25","70.1","35","6","280","5","15","0","0","32:47"
"5213","26","22","397","327","70","1","30","43","3","17","97.7","22","5","254","5","16","3","3","35:30"
"6312","12","15","221","121","100","3","14","26","2","8","50.3","25","2","106","6","12","0","0","26:11"
"7312","0","7","106","51","55","","10","15","11","66","71.8","14","9","375","1","10","0","0","22:26"
"8312","19","23","390","226","164","1","24","32","2","11","91.4","33","2","103","9","15","1","1","35:23"
"10312","28","24","340","215","125","2","21","29","4","25","116.3","36","1","45","11","14","0","0","34:26"
"11312","34","23","385","235","150","","17","25","2","14","124.6","36","5","241","5","12","0","0","32:57"
"12312","10","16","267","176","91","2","21","29","5","27","70.5","27","6","296","6","14","0","0","28:44"
"13312","17","14","365","260","105","1","22","23","6","43","142.8","23","6","298","4","12","0","1","30:02"
"14213","26","22","403","273","130","1","20","35","3","9","89.3","22","7","266","1","11","0","0","26:38"
"15312","30","21","426","162","264","1","18","24","1","0","75.3","32","2","118","7","11","0","1","29:20"
"16312","17","22","301","86","215","","13","21","1","8","70.7","45","5","220","5","14","1","1","35:21"
